nw time col row
1 6390 5000 5000
2 3202 5000 5000
3 2133 5000 5000
4 1600 5000 5000
5 1279 5000 5000
6 1067 5000 5000
7 916 5000 5000
8 809 5000 5000
9 714 5000 5000
10 642 5000 5000
11 585 5000 5000
12 536 5000 5000
13 496 5000 5000
14 469 5000 5000
15 430 5000 5000
16 403 5000 5000
17 380 5000 5000
18 360 5000 5000
19 341 5000 5000
20 326 5000 5000
21 310 5000 5000
22 298 5000 5000
23 285 5000 5000
24 273 5000 5000
25 262 5000 5000
26 254 5000 5000
27 244 5000 5000
28 238 5000 5000
29 229 5000 5000
30 221 5000 5000
31 216 5000 5000
32 209 5000 5000
33 205 5000 5000
34 198 5000 5000
35 194 5000 5000
36 188 5000 5000
37 186 5000 5000
38 180 5000 5000
39 175 5000 5000
40 174 5000 5000
41 168 5000 5000
42 176 5000 5000
43 161 5000 5000
44 168 5000 5000
45 157 5000 5000
46 209 5000 5000
47 149 5000 5000
48 145 5000 5000
49 143 5000 5000
50 142 5000 5000
51 188 5000 5000
52 137 5000 5000
53 148 5000 5000
54 133 5000 5000
55 136 5000 5000
56 129 5000 5000
57 127 5000 5000
58 169 5000 5000
59 123 5000 5000
60 140 5000 5000
61 121 5000 5000
62 118 5000 5000
63 159 5000 5000
64 180 5000 5000
65 154 5000 5000
66 174 5000 5000
67 159 5000 5000
68 150 5000 5000
69 151 5000 5000
70 159 5000 5000
71 152 5000 5000
72 181 5000 5000
73 152 5000 5000
74 148 5000 5000
75 139 5000 5000
76 136 5000 5000
77 134 5000 5000
78 137 5000 5000
79 162 5000 5000
80 143 5000 5000
81 139 5000 5000
82 140 5000 5000
83 140 5000 5000
84 142 5000 5000
85 155 5000 5000
86 146 5000 5000
87 138 5000 5000
88 142 5000 5000
89 137 5000 5000
90 152 5000 5000
91 136 5000 5000
92 169 5000 5000
93 153 5000 5000
94 147 5000 5000
95 149 5000 5000
96 137 5000 5000
97 169 5000 5000
98 146 5000 5000
99 150 5000 5000
100 153 5000 5000
101 144 5000 5000
102 125 5000 5000
103 121 5000 5000
104 122 5000 5000
105 141 5000 5000
106 140 5000 5000
107 143 5000 5000
108 134 5000 5000
109 119 5000 5000
110 129 5000 5000
111 142 5000 5000
112 138 5000 5000
113 136 5000 5000
114 150 5000 5000
115 133 5000 5000
116 140 5000 5000
117 151 5000 5000
118 145 5000 5000
119 149 5000 5000
120 144 5000 5000
121 156 5000 5000
122 153 5000 5000
123 155 5000 5000
124 152 5000 5000
125 147 5000 5000
126 145 5000 5000
127 149 5000 5000
128 148 5000 5000
129 150 5000 5000
130 151 5000 5000
131 148 5000 5000
132 143 5000 5000
133 143 5000 5000
134 146 5000 5000
135 149 5000 5000
136 146 5000 5000
137 147 5000 5000
138 147 5000 5000
139 151 5000 5000
140 145 5000 5000
141 143 5000 5000
142 142 5000 5000
143 139 5000 5000
144 134 5000 5000
145 136 5000 5000
146 143 5000 5000
147 138 5000 5000
148 142 5000 5000
149 139 5000 5000
150 144 5000 5000
151 140 5000 5000
152 138 5000 5000
153 137 5000 5000
154 130 5000 5000
155 138 5000 5000
156 136 5000 5000
157 134 5000 5000
158 134 5000 5000
159 136 5000 5000
160 136 5000 5000
161 136 5000 5000
162 135 5000 5000
163 131 5000 5000
164 133 5000 5000
165 135 5000 5000
166 129 5000 5000
167 130 5000 5000
168 131 5000 5000
169 131 5000 5000
170 131 5000 5000
171 129 5000 5000
172 132 5000 5000
173 126 5000 5000
174 127 5000 5000
175 135 5000 5000
176 133 5000 5000
177 134 5000 5000
178 136 5000 5000
179 129 5000 5000
180 129 5000 5000
181 132 5000 5000
182 128 5000 5000
183 137 5000 5000
184 133 5000 5000
185 138 5000 5000
186 126 5000 5000
187 136 5000 5000
188 126 5000 5000
189 128 5000 5000
190 137 5000 5000
191 135 5000 5000
192 133 5000 5000
193 127 5000 5000
194 131 5000 5000
195 144 5000 5000
196 137 5000 5000
197 143 5000 5000
198 129 5000 5000
199 140 5000 5000
200 129 5000 5000
201 148 5000 5000
202 143 5000 5000
203 135 5000 5000
204 130 5000 5000
205 142 5000 5000
206 135 5000 5000
207 132 5000 5000
208 145 5000 5000
209 139 5000 5000
210 138 5000 5000
211 143 5000 5000
212 132 5000 5000
213 137 5000 5000
214 140 5000 5000
215 147 5000 5000
216 143 5000 5000
217 141 5000 5000
218 145 5000 5000
219 142 5000 5000
220 141 5000 5000
221 137 5000 5000
222 145 5000 5000
223 137 5000 5000
224 141 5000 5000
225 142 5000 5000
226 138 5000 5000
227 140 5000 5000
228 145 5000 5000
229 141 5000 5000
230 139 5000 5000
231 148 5000 5000
232 147 5000 5000
233 139 5000 5000
234 144 5000 5000
235 143 5000 5000
236 147 5000 5000
237 141 5000 5000
238 135 5000 5000
239 151 5000 5000
240 141 5000 5000
241 154 5000 5000
242 150 5000 5000
243 154 5000 5000
244 158 5000 5000
245 162 5000 5000
246 149 5000 5000
247 157 5000 5000
248 158 5000 5000
249 158 5000 5000
250 159 5000 5000
