nw time col row
1 60690 10000 10000
2 31672 10000 10000
3 21123 10000 10000
4 15850 10000 10000
5 12687 10000 10000
6 10574 10000 10000
7 9076 10000 10000
8 7939 10000 10000
9 7062 10000 10000
10 6367 10000 10000
11 5859 10000 10000
12 5333 10000 10000
13 4907 10000 10000
14 4554 10000 10000
15 4261 10000 10000
16 3994 10000 10000
17 3765 10000 10000
18 4543 10000 10000
19 3372 10000 10000
20 3218 10000 10000
21 3077 10000 10000
22 2926 10000 10000
23 2798 10000 10000
24 2690 10000 10000
25 2581 10000 10000
26 2496 10000 10000
27 2398 10000 10000
28 2317 10000 10000
29 2239 10000 10000
30 2166 10000 10000
31 2102 10000 10000
32 2050 10000 10000
33 1988 10000 10000
34 1925 10000 10000
35 1873 10000 10000
36 1823 10000 10000
37 1809 10000 10000
38 1737 10000 10000
39 1729 10000 10000
40 1683 10000 10000
41 1720 10000 10000
42 1659 10000 10000
43 1615 10000 10000
44 1541 10000 10000
45 1545 10000 10000
46 1453 10000 10000
47 1422 10000 10000
48 1459 10000 10000
49 1475 10000 10000
50 1462 10000 10000
51 1334 10000 10000
52 1302 10000 10000
53 1278 10000 10000
54 1368 10000 10000
55 1329 10000 10000
56 1462 10000 10000
57 1218 10000 10000
58 1200 10000 10000
59 1204 10000 10000
60 1256 10000 10000
61 1153 10000 10000
62 1116 10000 10000
63 1149 10000 10000
64 1252 10000 10000
65 1630 10000 10000
66 1600 10000 10000
67 1596 10000 10000
68 1587 10000 10000
69 1563 10000 10000
70 1612 10000 10000
71 1541 10000 10000
72 1514 10000 10000
73 1558 10000 10000
74 1480 10000 10000
75 1489 10000 10000
76 1439 10000 10000
77 1439 10000 10000
78 1455 10000 10000
79 1426 10000 10000
80 1431 10000 10000
81 1415 10000 10000
82 1380 10000 10000
83 1355 10000 10000
84 1350 10000 10000
85 1348 10000 10000
86 1297 10000 10000
87 1287 10000 10000
88 1306 10000 10000
89 1305 10000 10000
90 1313 10000 10000
91 1283 10000 10000
92 1290 10000 10000
93 1221 10000 10000
94 1254 10000 10000
95 1285 10000 10000
96 1235 10000 10000
97 1221 10000 10000
98 1220 10000 10000
99 1219 10000 10000
100 1228 10000 10000
101 1214 10000 10000
102 1188 10000 10000
103 1223 10000 10000
104 1204 10000 10000
105 1156 10000 10000
106 1178 10000 10000
107 1170 10000 10000
108 1169 10000 10000
109 1113 10000 10000
110 1157 10000 10000
111 1109 10000 10000
112 1104 10000 10000
113 1106 10000 10000
114 1128 10000 10000
115 1087 10000 10000
116 1092 10000 10000
117 1054 10000 10000
118 1065 10000 10000
119 1071 10000 10000
120 1043 10000 10000
121 1105 10000 10000
122 1039 10000 10000
123 1007 10000 10000
124 1024 10000 10000
125 1026 10000 10000
126 1003 10000 10000
127 989 10000 10000
128 1043 10000 10000
129 1196 10000 10000
130 1205 10000 10000
131 1196 10000 10000
132 1203 10000 10000
133 1204 10000 10000
134 1176 10000 10000
135 1161 10000 10000
136 1170 10000 10000
137 1178 10000 10000
138 1150 10000 10000
139 1145 10000 10000
140 1149 10000 10000
141 1150 10000 10000
142 1128 10000 10000
143 1130 10000 10000
144 1126 10000 10000
145 1136 10000 10000
146 1124 10000 10000
147 1110 10000 10000
148 1114 10000 10000
149 1120 10000 10000
150 1108 10000 10000
151 1093 10000 10000
152 1080 10000 10000
153 1078 10000 10000
154 1083 10000 10000
155 1075 10000 10000
156 1076 10000 10000
157 1077 10000 10000
158 1061 10000 10000
159 1064 10000 10000
160 1055 10000 10000
161 1051 10000 10000
162 1057 10000 10000
163 1050 10000 10000
164 1040 10000 10000
165 1039 10000 10000
166 1030 10000 10000
167 1029 10000 10000
168 1018 10000 10000
169 1038 10000 10000
170 1022 10000 10000
171 1025 10000 10000
172 1027 10000 10000
173 1009 10000 10000
174 1009 10000 10000
175 995 10000 10000
176 994 10000 10000
177 1010 10000 10000
178 986 10000 10000
179 977 10000 10000
180 979 10000 10000
181 969 10000 10000
182 972 10000 10000
183 968 10000 10000
184 963 10000 10000
185 963 10000 10000
186 971 10000 10000
187 953 10000 10000
188 963 10000 10000
189 945 10000 10000
190 955 10000 10000
191 953 10000 10000
192 1065 10000 10000
193 1054 10000 10000
194 1055 10000 10000
195 1052 10000 10000
196 1052 10000 10000
197 1064 10000 10000
198 1071 10000 10000
199 1050 10000 10000
200 1047 10000 10000
201 1042 10000 10000
202 1051 10000 10000
203 1060 10000 10000
204 1051 10000 10000
205 1042 10000 10000
206 1033 10000 10000
207 1043 10000 10000
208 1043 10000 10000
209 1031 10000 10000
210 1039 10000 10000
211 1035 10000 10000
212 1042 10000 10000
213 1027 10000 10000
214 1030 10000 10000
215 1029 10000 10000
216 1035 10000 10000
217 1024 10000 10000
218 1026 10000 10000
219 1011 10000 10000
220 1010 10000 10000
221 1013 10000 10000
222 1023 10000 10000
223 1026 10000 10000
224 1042 10000 10000
225 1029 10000 10000
226 1024 10000 10000
227 1028 10000 10000
228 1027 10000 10000
229 1023 10000 10000
230 1024 10000 10000
231 1021 10000 10000
232 1019 10000 10000
233 1013 10000 10000
234 1016 10000 10000
235 1012 10000 10000
236 1007 10000 10000
237 1012 10000 10000
238 1014 10000 10000
239 998 10000 10000
240 1015 10000 10000
241 1002 10000 10000
242 1006 10000 10000
243 996 10000 10000
244 1006 10000 10000
245 1013 10000 10000
246 1041 10000 10000
247 1006 10000 10000
248 1006 10000 10000
249 1014 10000 10000
250 1017 10000 10000
