nw time col row
1 73 500 500
2 38 500 500
3 26 500 500
4 20 500 500
5 16 500 500
6 14 500 500
7 13 500 500
8 11 500 500
9 11 500 500
10 10 500 500
11 10 500 500
12 9 500 500
13 9 500 500
14 9 500 500
15 8 500 500
16 8 500 500
17 8 500 500
18 9 500 500
19 8 500 500
20 10 500 500
21 8 500 500
22 8 500 500
23 9 500 500
24 10 500 500
25 10 500 500
26 9 500 500
27 9 500 500
28 9 500 500
29 9 500 500
30 10 500 500
31 10 500 500
32 10 500 500
33 11 500 500
34 11 500 500
35 12 500 500
36 11 500 500
37 12 500 500
38 11 500 500
39 12 500 500
40 12 500 500
41 13 500 500
42 12 500 500
43 13 500 500
44 13 500 500
45 15 500 500
46 13 500 500
47 13 500 500
48 15 500 500
49 13 500 500
50 15 500 500
51 15 500 500
52 14 500 500
53 15 500 500
54 15 500 500
55 17 500 500
56 15 500 500
57 16 500 500
58 17 500 500
59 17 500 500
60 16 500 500
61 16 500 500
62 15 500 500
63 15 500 500
64 16 500 500
65 15 500 500
66 19 500 500
67 19 500 500
68 19 500 500
69 20 500 500
70 19 500 500
71 20 500 500
72 19 500 500
73 20 500 500
74 20 500 500
75 20 500 500
76 20 500 500
77 21 500 500
78 21 500 500
79 23 500 500
80 20 500 500
81 21 500 500
82 20 500 500
83 21 500 500
84 21 500 500
85 23 500 500
86 23 500 500
87 22 500 500
88 21 500 500
89 24 500 500
90 21 500 500
91 23 500 500
92 24 500 500
93 24 500 500
94 25 500 500
95 24 500 500
96 25 500 500
97 29 500 500
98 24 500 500
99 26 500 500
100 24 500 500
101 28 500 500
102 26 500 500
103 27 500 500
104 22 500 500
105 25 500 500
106 24 500 500
107 26 500 500
108 25 500 500
109 26 500 500
110 28 500 500
111 28 500 500
112 28 500 500
113 27 500 500
114 29 500 500
115 28 500 500
116 32 500 500
117 31 500 500
118 29 500 500
119 30 500 500
120 29 500 500
121 30 500 500
122 34 500 500
123 35 500 500
124 32 500 500
125 30 500 500
126 31 500 500
127 31 500 500
128 32 500 500
129 32 500 500
130 33 500 500
131 34 500 500
132 34 500 500
133 32 500 500
134 34 500 500
135 33 500 500
136 33 500 500
137 34 500 500
138 31 500 500
139 34 500 500
140 35 500 500
141 38 500 500
142 33 500 500
143 36 500 500
144 34 500 500
145 36 500 500
146 35 500 500
147 36 500 500
148 35 500 500
149 37 500 500
150 39 500 500
151 33 500 500
152 34 500 500
153 39 500 500
154 36 500 500
155 37 500 500
156 37 500 500
157 40 500 500
158 38 500 500
159 38 500 500
160 42 500 500
161 38 500 500
162 38 500 500
163 37 500 500
164 41 500 500
165 40 500 500
166 41 500 500
167 40 500 500
168 40 500 500
169 39 500 500
170 41 500 500
171 38 500 500
172 46 500 500
173 42 500 500
174 44 500 500
175 42 500 500
176 39 500 500
177 50 500 500
178 41 500 500
179 45 500 500
180 52 500 500
181 41 500 500
182 45 500 500
183 48 500 500
184 43 500 500
185 42 500 500
186 45 500 500
187 51 500 500
188 43 500 500
189 52 500 500
190 44 500 500
191 45 500 500
192 52 500 500
193 45 500 500
194 53 500 500
195 48 500 500
196 61 500 500
197 55 500 500
198 49 500 500
199 54 500 500
200 64 500 500
201 52 500 500
202 59 500 500
203 70 500 500
204 58 500 500
205 59 500 500
206 61 500 500
207 58 500 500
208 70 500 500
209 59 500 500
210 48 500 500
211 63 500 500
212 61 500 500
213 62 500 500
214 60 500 500
215 63 500 500
216 58 500 500
217 67 500 500
218 60 500 500
219 64 500 500
220 63 500 500
221 69 500 500
222 60 500 500
223 69 500 500
224 72 500 500
225 67 500 500
226 65 500 500
227 63 500 500
228 77 500 500
229 67 500 500
230 79 500 500
231 69 500 500
232 73 500 500
233 81 500 500
234 75 500 500
235 69 500 500
236 72 500 500
237 73 500 500
238 78 500 500
239 75 500 500
240 80 500 500
241 85 500 500
242 80 500 500
243 77 500 500
244 83 500 500
245 77 500 500
246 86 500 500
247 82 500 500
248 76 500 500
249 83 500 500
250 90 500 500
