Running first test.
1 152 500 500
2 83 500 500
3 59 500 500
4 46 500 500
5 40 500 500
6 36 500 500
7 33 500 500
8 32 500 500
9 32 500 500
10 32 500 500
11 31 500 500
12 32 500 500
13 31 500 500
14 31 500 500
15 32 500 500
16 33 500 500
17 34 500 500
18 35 500 500
19 36 500 500
20 39 500 500
21 40 500 500
22 41 500 500
23 43 500 500
24 44 500 500
25 45 500 500
26 48 500 500
27 49 500 500
28 50 500 500
29 52 500 500
30 53 500 500
31 57 500 500
32 86 500 500
33 58 500 500
34 89 500 500
35 62 500 500
36 63 500 500
37 65 500 500
38 66 500 500
39 68 500 500
40 69 500 500
41 70 500 500
42 85 500 500
43 72 500 500
44 75 500 500
45 76 500 500
46 79 500 500
47 81 500 500
48 82 500 500
49 85 500 500
50 86 500 500
51 87 500 500
52 86 500 500
53 91 500 500
54 93 500 500
55 97 500 500
56 99 500 500
57 101 500 500
58 131 500 500
59 104 500 500
60 103 500 500
61 106 500 500
62 106 500 500
63 108 500 500
64 109 500 500
65 110 500 500
66 112 500 500
67 114 500 500
68 114 500 500
69 143 500 500
70 120 500 500
71 121 500 500
72 121 500 500
73 124 500 500
74 153 500 500
75 154 500 500
76 129 500 500
77 133 500 500
78 134 500 500
79 136 500 500
80 136 500 500
81 139 500 500
82 142 500 500
83 141 500 500
84 142 500 500
85 143 500 500
86 147 500 500
87 176 500 500
88 153 500 500
89 152 500 500
90 154 500 500
91 182 500 500
92 156 500 500
93 160 500 500
94 162 500 500
95 163 500 500
96 167 500 500
97 167 500 500
98 171 500 500
99 198 500 500
100 166 500 500
101 203 500 500
102 181 500 500
103 183 500 500
104 211 500 500
105 347 500 500
106 188 500 500
107 221 500 500
108 217 500 500
109 195 500 500
110 195 500 500
111 197 500 500
112 199 500 500
113 226 500 500
114 202 500 500
115 203 500 500
116 205 500 500
117 206 500 500
118 206 500 500
119 211 500 500
120 212 500 500
121 215 500 500
122 217 500 500
123 245 500 500
124 237 500 500
125 247 500 500
126 223 500 500
127 253 500 500
128 229 500 500
129 231 500 500
130 258 500 500
131 232 500 500
132 235 500 500
133 234 500 500
134 236 500 500
135 236 500 500
136 265 500 500
137 237 500 500
138 240 500 500
139 268 500 500
140 243 500 500
141 266 500 500
142 246 500 500
143 267 500 500
144 244 500 500
145 248 500 500
146 248 500 500
147 280 500 500
148 278 500 500
149 280 500 500
150 257 500 500
151 257 500 500
152 282 500 500
153 285 500 500
154 292 500 500
155 263 500 500
156 269 500 500
157 270 500 500
158 273 500 500
159 290 500 500
160 300 500 500
161 298 500 500
162 303 500 500
163 274 500 500
164 280 500 500
165 280 500 500
166 283 500 500
167 286 500 500
168 286 500 500
169 289 500 500
170 304 500 500
171 289 500 500
172 295 500 500
173 295 500 500
174 299 500 500
175 297 500 500
176 298 500 500
177 294 500 500
178 324 500 500
179 330 500 500
180 310 500 500
181 330 500 500
182 314 500 500
183 334 500 500
184 340 500 500
185 317 500 500
186 338 500 500
187 318 500 500
188 312 500 500
189 319 500 500
190 329 500 500
191 343 500 500
192 354 500 500
193 332 500 500
194 333 500 500
195 337 500 500
196 330 500 500
197 358 500 500
198 359 500 500
199 356 500 500
200 341 500 500
201 368 500 500
202 335 500 500
203 346 500 500
204 347 500 500
205 354 500 500
206 382 500 500
207 353 500 500
208 389 500 500
209 375 500 500
210 358 500 500
211 385 500 500
212 357 500 500
213 372 500 500
214 370 500 500
215 380 500 500
216 393 500 500
217 371 500 500
218 371 500 500
219 396 500 500
220 383 500 500
221 379 500 500
222 368 500 500
223 407 500 500
224 386 500 500
225 412 500 500
226 412 500 500
227 415 500 500
228 394 500 500
229 391 500 500
230 408 500 500
231 420 500 500
232 423 500 500
233 399 500 500
234 402 500 500
235 403 500 500
236 404 500 500
237 408 500 500
238 435 500 500
239 441 500 500
240 436 500 500
241 417 500 500
242 416 500 500
243 416 500 500
244 418 500 500
245 432 500 500
246 454 500 500
247 449 500 500
248 435 500 500
249 416 500 500
250 431 500 500
