nw time col row
1 273 1000 1000
2 138 1000 1000
3 93 1000 1000
4 70 1000 1000
5 57 1000 1000
6 47 1000 1000
7 41 1000 1000
8 37 1000 1000
9 33 1000 1000
10 31 1000 1000
11 28 1000 1000
12 26 1000 1000
13 24 1000 1000
14 24 1000 1000
15 23 1000 1000
16 21 1000 1000
17 20 1000 1000
18 19 1000 1000
19 19 1000 1000
20 19 1000 1000
21 18 1000 1000
22 18 1000 1000
23 17 1000 1000
24 18 1000 1000
25 18 1000 1000
26 17 1000 1000
27 17 1000 1000
28 18 1000 1000
29 16 1000 1000
30 17 1000 1000
31 16 1000 1000
32 19 1000 1000
33 18 1000 1000
34 16 1000 1000
35 18 1000 1000
36 16 1000 1000
37 18 1000 1000
38 17 1000 1000
39 17 1000 1000
40 18 1000 1000
41 18 1000 1000
42 17 1000 1000
43 16 1000 1000
44 17 1000 1000
45 17 1000 1000
46 16 1000 1000
47 19 1000 1000
48 18 1000 1000
49 17 1000 1000
50 17 1000 1000
51 19 1000 1000
52 17 1000 1000
53 18 1000 1000
54 19 1000 1000
55 21 1000 1000
56 19 1000 1000
57 18 1000 1000
58 19 1000 1000
59 19 1000 1000
60 17 1000 1000
61 17 1000 1000
62 20 1000 1000
63 21 1000 1000
64 20 1000 1000
65 21 1000 1000
66 21 1000 1000
67 20 1000 1000
68 22 1000 1000
69 22 1000 1000
70 24 1000 1000
71 22 1000 1000
72 26 1000 1000
73 22 1000 1000
74 25 1000 1000
75 26 1000 1000
76 23 1000 1000
77 23 1000 1000
78 23 1000 1000
79 26 1000 1000
80 24 1000 1000
81 27 1000 1000
82 24 1000 1000
83 26 1000 1000
84 25 1000 1000
85 23 1000 1000
86 25 1000 1000
87 26 1000 1000
88 26 1000 1000
89 25 1000 1000
90 26 1000 1000
91 25 1000 1000
92 28 1000 1000
93 26 1000 1000
94 28 1000 1000
95 29 1000 1000
96 28 1000 1000
97 27 1000 1000
98 28 1000 1000
99 29 1000 1000
100 29 1000 1000
101 28 1000 1000
102 29 1000 1000
103 32 1000 1000
104 30 1000 1000
105 32 1000 1000
106 30 1000 1000
107 30 1000 1000
108 31 1000 1000
109 32 1000 1000
110 32 1000 1000
111 29 1000 1000
112 33 1000 1000
113 28 1000 1000
114 32 1000 1000
115 29 1000 1000
116 32 1000 1000
117 33 1000 1000
118 35 1000 1000
119 33 1000 1000
120 34 1000 1000
121 36 1000 1000
122 35 1000 1000
123 34 1000 1000
124 34 1000 1000
125 35 1000 1000
126 35 1000 1000
127 35 1000 1000
128 35 1000 1000
129 36 1000 1000
130 35 1000 1000
131 36 1000 1000
132 39 1000 1000
133 37 1000 1000
134 37 1000 1000
135 35 1000 1000
136 35 1000 1000
137 38 1000 1000
138 38 1000 1000
139 37 1000 1000
140 35 1000 1000
141 35 1000 1000
142 37 1000 1000
143 38 1000 1000
144 40 1000 1000
145 36 1000 1000
146 39 1000 1000
147 39 1000 1000
148 41 1000 1000
149 40 1000 1000
150 44 1000 1000
151 38 1000 1000
152 40 1000 1000
153 41 1000 1000
154 41 1000 1000
155 40 1000 1000
156 40 1000 1000
157 43 1000 1000
158 36 1000 1000
159 40 1000 1000
160 42 1000 1000
161 42 1000 1000
162 43 1000 1000
163 42 1000 1000
164 43 1000 1000
165 44 1000 1000
166 46 1000 1000
167 45 1000 1000
168 44 1000 1000
169 41 1000 1000
170 42 1000 1000
171 41 1000 1000
172 45 1000 1000
173 50 1000 1000
174 44 1000 1000
175 42 1000 1000
176 45 1000 1000
177 45 1000 1000
178 49 1000 1000
179 49 1000 1000
180 46 1000 1000
181 47 1000 1000
182 65 1000 1000
183 49 1000 1000
184 56 1000 1000
185 47 1000 1000
186 49 1000 1000
187 51 1000 1000
188 46 1000 1000
189 48 1000 1000
190 58 1000 1000
191 50 1000 1000
192 53 1000 1000
193 51 1000 1000
194 50 1000 1000
195 51 1000 1000
196 57 1000 1000
197 54 1000 1000
198 59 1000 1000
199 53 1000 1000
200 61 1000 1000
201 53 1000 1000
202 60 1000 1000
203 59 1000 1000
204 50 1000 1000
205 66 1000 1000
206 67 1000 1000
207 65 1000 1000
208 67 1000 1000
209 61 1000 1000
210 64 1000 1000
211 61 1000 1000
212 79 1000 1000
213 60 1000 1000
214 71 1000 1000
215 63 1000 1000
216 69 1000 1000
217 78 1000 1000
218 76 1000 1000
219 72 1000 1000
220 81 1000 1000
221 73 1000 1000
222 72 1000 1000
223 76 1000 1000
224 77 1000 1000
225 68 1000 1000
226 73 1000 1000
227 70 1000 1000
228 89 1000 1000
229 86 1000 1000
230 85 1000 1000
231 72 1000 1000
232 84 1000 1000
233 87 1000 1000
234 70 1000 1000
235 83 1000 1000
236 79 1000 1000
237 75 1000 1000
238 84 1000 1000
239 82 1000 1000
240 86 1000 1000
241 87 1000 1000
242 84 1000 1000
243 87 1000 1000
244 77 1000 1000
245 87 1000 1000
246 89 1000 1000
247 86 1000 1000
248 88 1000 1000
249 90 1000 1000
250 103 1000 1000
